collectdate,WQI
1995-05-16,113.065986502574
1995-05-16,112.882206291331
1995-05-16,131.85158695804
1995-05-16,122.486649537482
1995-06-05,77.5155291916254
1995-06-05,101.231721977895
1995-06-05,80.8297903584921
1995-06-05,101.204856810378
1995-06-05,101.060076184138
1995-06-05,101.057985415599
1995-06-05,100.93665151624
1995-06-05,101.481064839232
1995-06-05,100.643824264301
1995-06-05,100.582348444136
1995-06-05,100.551047856096
1995-06-05,100.455474214026
1995-06-05,105.50573618665
1995-06-05,100.209518930765
1995-06-05,119.130559996662
1995-06-05,119.067637551051
1995-07-10,28.3226641879749
1995-07-10,28.932912248049
1995-07-10,84.030145285891
1995-07-10,83.6530609852763
1995-07-10,83.1775449558043
1995-07-10,117.710474321473
1995-07-10,82.8578484121454
1995-07-10,82.7977235725845
